2026-01-01	Happy New Year
2026-01-02	Happy Science Fiction Day
2026-01-15	Happy Wikipedia Day
2026-01-23	Happy Wear Your Nerdiest T-Shirt Day
2026-01-25	Happy Apple Computer Day
2026-01-26	Happy Dungeons & Dragons Day
2026-01-28	Happy Data Privacy Day
2026-02-08	Happy Clean Out Your Computer Day
2026-02-11	Happy National Inventors Day
2026-02-27	Happy Pokemon Day
2026-03-02	Happy Raspberry Pi Birthday Jam
2026-03-03	Happy Raspberry Pi Birthday Jam
2026-03-04	Happy Game Master's Appreciation Day
2026-03-13	Happy World Wide Web Day
2026-03-14	Happy Pi Day
2026-03-23	Happy Hellboy Day
2026-03-24	Happy Ada Lovelace Day
2026-03-25	Happy Tolkien Reading Day
2026-03-30	Happy Table Top Day
2026-03-31	Happy World Backup Day
2026-04-02	Happy Arduino Day
2026-04-05	Happy First Contact Day
2026-04-09	Happy Global Internet of Things Day
2026-04-11	Happy International Tabletop Day
2026-04-22	Happy Earth Day
2026-04-23	Happy World Book Day
2026-04-25	Happy DNA Day
2026-04-26	Happy Alien Day
2026-04-28	Happy National Superhero Day
2026-05-02	Happy World Password Day / Happy Free Comic Book Day
2026-05-04	Happy Star Wars Day
2026-05-10	Happy Mother's Day
2026-05-23	Happy International Synthesizer Day
2026-05-25	Happy Geek Pride Day / Happy Towel Day
2026-05-31	Happy International Amiga Day
2026-06-16	Happy Captain Picard Day
2026-06-19	Happy Juneteenth
2026-06-21	Happy Father's Day
2026-06-25	Happy Free RPG Day
2026-07-03	Happy Independence Day
2026-07-10	Happy Nikola Tesla Day
2026-07-13	Happy Embrace Your Geekness Day
2026-07-24	Happy System Administrator Day / Happy Gary Gygax Day
2026-08-16	Happy Debian Day
2026-09-07	Happy Labor Day
2026-09-13	Happy Programmer's Day
2026-09-19	Happy Talk Like a Pirate Day / Happy Software Freedom Day
2026-09-22	Happy Hobbit Day
2026-09-26	Happy Batman Day
2026-10-03	Happy Techies Day / Happy Virus Appreciation Day
2026-10-13	Happy Ada Lovelace Day
2026-10-31	Happy Halloween
2026-11-23	Happy TARDIS Day
2026-11-26	Happy Thanksgiving
2026-11-30	Happy Computer Security Day
2026-12-05	Happy Pretend You're a Ninja Day
2026-12-25	Merry Christmas / Happy Grav-Mass
